x_scan_A,y_scan_A,z_scan_A,Br_x_A,Br_y_A,Br_z_A,min_Br_heavy_atom_distance_A,energy_Ha,status,worker_pid,relative_to_global_min_kcal_mol
3.0,-1.0,2.6,0.1584113810369146,3.1665652215198965,0.8843727505702064,3.168852324577365,-3010.183442918822,ok,72380,71.03073688300081
3.0,-3.0,2.6,2.1580197096836047,3.1836643617057185,0.9200680081221212,3.2613052514094942,-3010.1814191323983,ok,72379,72.30068203722894
-3.0,-1.0,2.9,0.196408093910774,-2.7965382326883845,1.6123517641551044,3.4184919625026033,-3010.2208675084876,ok,72378,47.54645230731583
-3.0,1.0,2.9,-1.8032002347359155,-2.8136373728742066,1.5766565066031897,3.4242309954914716,-3010.2061232030596,ok,72383,56.79864365089734
-1.0,-1.0,2.9,0.1819012706043179,-0.8017048597497024,1.4694204299850364,2.9236497745173615,-3010.2474636499933,ok,72379,30.857121540640488
-1.0,1.0,2.9,-1.817707058042372,-0.8188039999355244,1.4337251724331217,2.923716041482229,-3010.2505744555883,ok,72378,28.905061557979035
-3.0,3.0,2.9,-3.802808563382605,-2.8307365130600286,1.5409612490512743,4.11822507758899,-3010.149369693146,ok,72381,92.41200880437508
-1.0,3.0,2.9,-3.8173153866890615,-0.8359031401213467,1.3980299148812063,3.468729790890891,-3010.19486781089,ok,72380,63.86150887081878
1.0,1.0,2.9,-1.832213881348828,1.1760293730031572,1.2907938382630535,2.9239269964383476,-3010.2559141205325,ok,72379,25.554371217551108
1.0,-1.0,2.9,0.1673944472978616,1.1931285131889795,1.3264890958149684,2.9234368594873956,-3010.232871724328,ok,72382,40.013693139439866
1.0,3.0,2.9,-3.8318222099955177,1.158930232817335,1.2550985807111386,3.4677634995188047,-3010.210557292364,ok,72378,54.01621060398692
3.0,1.0,2.9,-1.8467207046552845,3.170862745941839,1.1478625040929855,3.42343086901441,-3010.205080589672,ok,72379,57.45289342936917
3.0,3.0,2.9,-3.8463290333019735,3.153763605756017,1.1121672465410706,4.118943128018614,-3010.197338164704,ok,72382,62.31133844852376
1.0,-3.0,2.9,2.1670027759445514,1.2102276533748015,1.3621843533668834,2.928200096278046,-3010.1808381882365,ok,72383,72.66523000263045
3.0,-1.0,2.9,0.1528876239914055,3.187961886127661,1.1835577616449005,3.419307585733801,-3010.1723019799515,ok,72380,78.02178157351933
-3.0,1.0,3.2,-1.8087239917814248,-2.7922407082664416,1.875841517677884,3.6817681770878,-3010.1982673464636,ok,72378,61.72826809130538
-3.0,-1.0,3.2,0.1908843368652649,-2.7751415680806195,1.911536775229799,3.6764113811160466,-3010.2121707796596,ok,72379,53.00373203969433
-1.0,-1.0,3.2,0.1763775135588087,-0.7803081951419375,1.768605441059731,3.2214346725550893,-3010.228341864876,ok,72380,42.85622286164949
-1.0,-3.0,3.2,2.1759858422054985,-0.7632090549561152,1.804300698611646,3.22750574206948,-3010.1893528972723,ok,72383,67.32216941430768
-1.0,1.0,3.2,-1.823230815087881,-0.7974073353277595,1.732910183507816,3.221517420494948,-3010.231413677091,ok,72378,40.928631594237885
-1.0,3.0,3.2,-3.8228391437345706,-0.8145064755135818,1.697214925955901,3.723184720550409,-3010.18727424535,ok,72379,68.62654318860349
1.0,-1.0,3.2,0.1618706902523525,1.2145251777967443,1.625674106889663,3.221260992575248,-3010.211527672572,ok,72380,53.40728782983354
1.0,1.0,3.2,-1.8377376383943371,1.197426037610922,1.589978849337748,3.2216891960141187,-3010.236671733615,ok,72383,37.62915131068111
1.0,3.0,3.2,-3.837345967041027,1.1803268974251,1.554283591785833,3.722284485328998,-3010.203084003905,ok,72378,58.705769913719024
1.0,-3.0,3.2,2.1614790188990423,1.2316243179825663,1.661369364441578,3.225494423075055,-3010.1857615415424,ok,72381,69.57577915932126
3.0,1.0,3.2,-1.8522444617007936,3.192259410549604,1.44704751516768,3.681006806586193,-3010.1941794672666,ok,72383,64.29345101596465
