theta,phi,E_opt_ortho,E_opt_meta,E_opt_para,g_norm_ortho,g_norm_meta,g_norm_para
54.0,180.0,-3010.332345371595,-3010.342131451642,-3010.3346104690677,0.0012021177029886989,0.0015543289310577055,0.0030835673790332112
54.0,198.0,-3010.335717488191,-3010.34078280658,-3010.334573201347,0.0010427025473071683,0.0019492698763882864,0.0012562066101415676
54.0,216.0,-3010.3371821165665,-3010.3390636777735,-3010.3359065269447,0.0007102974411478954,0.00325856011223349,0.003301304979019256
54.0,234.0,-3010.336888888617,-3010.3383880165056,-3010.338421226551,0.0011881274457283448,0.005329884409195252,0.001099408227335128
54.0,252.0,-3010.3357136607583,-3010.3390199553796,-3010.3408523682015,0.002444021779704882,0.005393184650140795,0.0006928566955277949
54.0,270.0,-3010.333925937753,-3010.340577110484,-3010.34051029226,0.003072020378342104,0.005083374679980885,0.0018187496606415277
54.0,288.0,-3010.332368442091,-3010.342347873621,-3010.336551932621,0.0035221959491832664,0.002735176088775896,0.002205326397695066
54.0,306.0,-3010.3315421394573,-3010.343552040383,-3010.3307306581387,0.0029188311447600943,0.00019784162519246229,0.0019764842997612407
54.0,324.0,-3010.332440399899,-3010.342959235504,-3010.3257637804218,0.0032295473085712867,0.0005058428557177643,0.0016620058997304688
54.0,342.0,-3010.3367153991967,-3010.3396761719855,-3010.322378275633,0.0021998639921467066,0.0027380360167339616,0.0013029738736294915
63.0,0.0,-3010.335206947729,-3010.3322167934916,-3010.3176330064553,0.004087496803960531,0.0014319708471379649,0.001153891549432216
63.0,18.0,-3010.3359635811867,-3010.327155803589,-3010.318908849753,0.004197536929292133,0.0015033452395183842,0.0011952400483710853
63.0,36.0,-3010.3341007327135,-3010.3235826921796,-3010.3223373778014,0.0004621033773638319,0.0005230437415155559,0.0003259399599522067
63.0,54.0,-3010.3308890277026,-3010.322161934939,-3010.3280678577767,0.002031634397667143,0.00033735225742510117,0.0005924810606923077
63.0,72.0,-3010.327538696974,-3010.323041320235,-3010.334476028899,0.0010517737272566453,3.526401204139667e-05,0.0006497819825437694
63.0,90.0,-3010.3243133987503,-3010.3257202303284,-3010.3385179847996,0.002033156787417958,0.00012405656283057757,0.0009981996710465935
63.0,108.0,-3010.32149329703,-3010.329437383102,-3010.3383694283416,0.0019070366491045656,0.0002355518391865883,0.0010850822624755578
63.0,126.0,-3010.3201681312544,-3010.3332777432333,-3010.335149338865,0.0020603990909133824,0.0004285887436513262,0.0017048641270443472
63.0,144.0,-3010.321411037903,-3010.3364399753873,-3010.331306519166,0.0018083758957986328,0.0008183920918733714,0.0018266807700100273
63.0,162.0,-3010.325091153366,-3010.338116368266,-3010.3289789861296,0.001011154373512071,0.000977190618078082,0.0019672956516901137
63.0,180.0,-3010.3296495612653,-3010.337415968903,-3010.3275825974074,0.001288565433233677,0.000898896969733375,0.0018695726302646583
63.0,198.0,-3010.332759039824,-3010.3345152135257,-3010.3274773419635,0.0010554669254656131,0.0019209325188341358,0.0017170479267626356
63.0,216.0,-3010.333305470586,-3010.3313532488246,-3010.329614209257,0.0008238374009456429,0.0032663044965098873,0.000246394862355112
63.0,234.0,-3010.331891399727,-3010.32991490442,-3010.3334817532027,0.003879530659119139,0.004225112740527051,0.000686361743633461
63.0,252.0,-3010.3306446550678,-3010.3307485478363,-3010.3377088199995,0.003287722025542284,0.004228474031896942,0.0010413764911834666
63.0,270.0,-3010.3283877120975,-3010.3328559715906,-3010.338185741287,0.004177643363986114,0.004000692230014969,0.001267129934401197
63.0,288.0,-3010.326098813129,-3010.335758959854,-3010.334364725125,0.0035766663850183176,0.0006996960596872725,0.001607664315634582
63.0,306.0,-3010.3246389428887,-3010.338053110431,-3010.328137545745,0.0029688150077293593,0.000118072039068464,0.0008959753769171712
63.0,324.0,-3010.3247478313056,-3010.3387058189364,-3010.32238478472,0.0026996076131770705,0.0006952728259240531,0.0014786872345688082
63.0,342.0,-3010.3317054279896,-3010.336308927509,-3010.318901493308,0.0036664451861608324,0.0023771091289387443,0.0006061543706834866
72.0,0.0,-3010.332005667554,-3010.3299849433297,-3010.315451288032,0.0015417617107876976,0.0011916078216035943,0.00039034925258438197
72.0,18.0,-3010.333209131369,-3010.324700489671,-3010.3166634184645,0.0012294827899408272,0.0004488203118637118,0.0006781016235428735
72.0,36.0,-3010.3313415914668,-3010.3203929450833,-3010.3200628886957,0.0012994825848952742,0.00036153512574893667,0.0007112109673768137
72.0,54.0,-3010.3288511498795,-3010.318644718708,-3010.3263259972296,0.00024947237330577175,0.0001509943051198546,0.0007179762432669732
72.0,72.0,-3010.3258461561777,-3010.3196733121,-3010.3331223094665,0.0012636140098737766,7.458771076977e-05,0.0007194490503446439
72.0,90.0,-3010.3225339434084,-3010.3226834769357,-3010.336818361655,0.001822341330628389,6.979469151977332e-05,0.0007156976311102512
72.0,108.0,-3010.319440516715,-3010.326595010106,-3010.3355829657867,0.0016798657965471685,0.00030723166826420595,0.0009825947785481312
72.0,126.0,-3010.3177533233725,-3010.3302770851933,-3010.330719298432,0.0014122773759233835,0.0006196248039866067,0.001719402589443471
72.0,144.0,-3010.318888873889,-3010.333310675244,-3010.3255330305433,0.00144567116515429,0.0010391530917768929,0.0012684694899122355
72.0,162.0,-3010.3230189988244,-3010.334894011059,-3010.3229435863136,0.0006897613473881009,0.0006096583151619663,0.0016407015735773534
72.0,180.0,-3010.3278939758266,-3010.3334519953255,-3010.3218964931507,0.0009699140096244602,0.0012696959835560222,0.0016975489983350287
72.0,198.0,-3010.330404321148,-3010.3289794862158,-3010.322246566026,0.0014537220076494795,0.0017593407952882492,0.0012969637039740949
72.0,216.0,-3010.3296396443106,-3010.3241450176242,-3010.3244594234984,0.0013275899193033853,0.003733104294872612,0.0017381055708475185
72.0,234.0,-3010.3284708378555,-3010.3219735483353,-3010.3294014389066,0.0012584175964868583,0.0045397702496737065,0.0004101401470209546
72.0,252.0,-3010.3270217786658,-3010.322879431213,-3010.335090555614,0.0018152944958975369,0.004959484496593308,0.0012088319855489986
72.0,270.0,-3010.3244178514824,-3010.325558815536,-3010.33667767924,0.0017293554548106541,0.0043015759832214714,0.0006262875106869585
72.0,288.0,-3010.3214151962293,-3010.329497692465,-3010.333215679116,0.0014719258289657717,0.0009569320338447009,0.0014017143145138786
72.0,306.0,-3010.319253125647,-3010.3328817769097,-3010.326556416902,0.0015864138788247984,0.00012899356224226388,0.0012479337243243517
72.0,324.0,-3010.318939439458,-3010.3348852660024,-3010.3201188093662,0.0012764308475949364,0.0013926058212456757,0.0017127604490032144
72.0,342.0,-3010.3205434439033,-3010.333707037199,-3010.316712467511,0.0015893858281152383,0.0019198230236864313,0.0005214504432424179
81.0,0.0,-3010.3294619355383,-3010.3289636101545,-3010.3148094262187,0.0011658066015075078,0.0006269888146118904,0.0002620952264156777
81.0,18.0,-3010.330747552783,-3010.323218251999,-3010.315741837481,0.001765365023185641,0.0015172502244327876,0.0012419795798171845
81.0,36.0,-3010.3291736379556,-3010.318304708104,-3010.318951320693,0.0009872586144789469,0.0002560271045576264,0.0004514986930951994
81.0,54.0,-3010.327539593711,-3010.3162854825173,-3010.325702164811,0.0012483005505607501,0.00032661347742364886,0.0019302469716474765
81.0,72.0,-3010.3252601397767,-3010.3176063614324,-3010.332846088122,0.0011023487490725533,0.0003179642376023589,0.0008666058795163069
81.0,90.0,-3010.3221705345923,-3010.321008345062,-3010.336047491204,0.000782437793304948,0.0003840293907452257,0.00023796170604816074
