     Theta        Phi           Ex           Ey           Ez              Nitro_E
    26.341     35.122     0.036293     0.025528     0.089617    -436.557624428080
    26.341     43.902     0.031971     0.030769     0.089617    -436.557699627229
    26.341     52.683     0.026899     0.035289     0.089617    -436.557734305495
    26.341     61.463     0.021197     0.038981     0.089617    -436.557753660316
    26.341     70.244     0.014998     0.041760     0.089617    -436.557779140125
    26.341     79.024     0.008448     0.043560     0.089617    -436.557826262899
    26.341     87.805     0.001700     0.044339     0.089617    -436.557903727202
    26.341     96.585    -0.005089     0.044079     0.089617    -436.558013466431
    26.341    105.366    -0.011758     0.042786     0.089617    -436.558151007000
    26.341    114.146    -0.018151     0.040490     0.089617    -436.558305664468
    26.341    122.927    -0.024119     0.037244     0.089617    -436.558460626351
    26.341    131.707    -0.029522     0.033126     0.089617    -436.558593430511
    26.341    140.488    -0.034233     0.028231     0.089617    -436.558677406860
    26.341    149.268    -0.038141     0.022675     0.089617    -436.558684285904
    26.341    158.049    -0.041155     0.016587     0.089617    -436.558587668407
    26.341    166.829    -0.043205     0.010110     0.089617    -436.558366715569
    26.341    175.610    -0.044242     0.003397     0.089617    -436.558009389590
    26.341    184.390    -0.044242    -0.003397     0.089617    -436.557514764332
    26.341    193.171    -0.043205    -0.010110     0.089617    -436.556894155937
    26.341    201.951    -0.041155    -0.016587     0.089617    -436.556170968329
    26.341    210.732    -0.038141    -0.022675     0.089617    -436.555379210288
    26.341    219.512    -0.034233    -0.028231     0.089617    -436.554560720446
    26.341    228.293    -0.029522    -0.033126     0.089617    -436.553761332143
    26.341    237.073    -0.024119    -0.037244     0.089617    -436.553026511460
    26.341    245.854    -0.018151    -0.040490     0.089617    -436.552397256339
    26.341    254.634    -0.011758    -0.042786     0.089617    -436.551907035123
    26.341    263.415    -0.005089    -0.044079     0.089617    -436.551580156254
    26.341    272.195     0.001700    -0.044339     0.089617    -436.551431342550
    26.341    280.976     0.008448    -0.043560     0.089617    -436.551465814198
    26.341    289.756     0.014998    -0.041760     0.089617    -436.551679212516
    26.341    298.537     0.021197    -0.038981     0.089617    -436.552057226942
    26.341    307.317     0.026899    -0.035289     0.089617    -436.552575433466
    26.341    316.098     0.031971    -0.030769     0.089617    -436.553200130605
    26.341    324.878     0.036293    -0.025528     0.089617    -436.553890674332
    26.341    333.659     0.039765    -0.019689     0.089617    -436.554603187534
    26.341    342.439     0.042304    -0.013388     0.089617    -436.555294970448
    26.341    351.220     0.043852    -0.006773     0.089617    -436.555928748470
    26.341    360.000     0.044372    -0.000000     0.089617    -436.556476061771
    30.732      0.000     0.051102     0.000000     0.085957    -436.553605077439
    30.732      8.780     0.050503     0.007801     0.085957    -436.554078308423
    30.732     17.561     0.048720     0.015418     0.085957    -436.554402003208
    30.732     26.341     0.045796     0.022675     0.085957    -436.554587060067
    30.732     35.122     0.041798     0.029400     0.085957    -436.554657637604
    30.732     43.902     0.036820     0.035436     0.085957    -436.554647344548
    30.732     52.683     0.030979     0.040641     0.085957    -436.554594113404
    30.732     61.463     0.024412     0.044894     0.085957    -436.554534573830
    30.732     70.244     0.017273     0.048094     0.085957    -436.554499181201
    30.732     79.024     0.009729     0.050167     0.085957    -436.554509259206
    30.732     87.805     0.001957     0.051064     0.085957    -436.554576323818
    30.732     96.585    -0.005861     0.050765     0.085957    -436.554702946890
    30.732    105.366    -0.013541     0.049275     0.085957    -436.554883770713
    30.732    114.146    -0.020904     0.046631     0.085957    -436.555105659786
    30.732    122.927    -0.027777     0.042893     0.085957    -436.555347128835
    30.732    131.707    -0.033999     0.038150     0.085957    -436.555578202172
    30.732    140.488    -0.039425     0.032513     0.085957    -436.555761952804
    30.732    149.268    -0.043926     0.026114     0.085957    -436.555858148787
    30.732    158.049    -0.047397     0.019103     0.085957    -436.555828387156
    30.732    166.829    -0.049758     0.011644     0.085957    -436.555641516997
    30.732    175.610    -0.050952     0.003912     0.085957    -436.555278241863
    30.732    184.390    -0.050952    -0.003912     0.085957    -436.554734274553
    30.732    193.171    -0.049758    -0.011644     0.085957    -436.554021872134
    30.732    201.951    -0.047397    -0.019103     0.085957    -436.553169747506
    30.732    210.732    -0.043926    -0.026114     0.085957    -436.552221278492
    30.732    219.512    -0.039425    -0.032513     0.085957    -436.551230887456
    30.732    228.293    -0.033999    -0.038150     0.085957    -436.550258714293
    30.732    237.073    -0.027777    -0.042893     0.085957    -436.549364285069
    30.732    245.854    -0.020904    -0.046631     0.085957    -436.548600488696
    30.732    254.634    -0.013541    -0.049275     0.085957    -436.548009318908
    30.732    263.415    -0.005861    -0.050765     0.085957    -436.547620176254
    30.732    272.195     0.001957    -0.051064     0.085957    -436.547450266962
    30.732    280.976     0.009729    -0.050167     0.085957    -436.547505597952
    30.732    289.756     0.017273    -0.048094     0.085957    -436.547781088620
    30.732    298.537     0.024412    -0.044894     0.085957    -436.548259472523
    30.732    307.317     0.030979    -0.040641     0.085957    -436.548910086035
    30.732    316.098     0.036820    -0.035436     0.085957    -436.549689240837
    30.732    324.878     0.041798    -0.029400     0.085957    -436.550543240815
    30.732    333.659     0.045796    -0.022675     0.085957    -436.551413789713
    30.732    342.439     0.048720    -0.015418     0.085957    -436.552244489286
    30.732    351.220     0.050503    -0.007801     0.085957    -436.552986895876
    30.732    360.000     0.051102    -0.000000     0.085957    -436.553605077439
    35.122      0.000     0.057532     0.000000     0.081793    -436.550541614391
    35.122      8.780     0.056858     0.008782     0.081793    -436.551028886964
    35.122     17.561     0.054851     0.017359     0.081793    -436.551321879167
    35.122     26.341     0.051558     0.025528     0.081793    -436.551437565611
