     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    66.000     76.000     0.022101     0.088641     0.040674   -3010.300116939706   -3010.298545053668
    66.000     77.000     0.020550     0.089013     0.040674   -3010.300187203680   -3010.298600747842
    66.000     78.000     0.018994     0.089358     0.040674   -3010.300261733251   -3010.298671995061
    66.000     79.000     0.017431     0.089676     0.040674   -3010.300340500425   -3010.298758762238
    66.000     80.000     0.015864     0.089967     0.040674   -3010.300423471554   -3010.298860998101
    66.000     81.000     0.014291     0.090230     0.040674   -3010.300510607278   -3010.298978633100
    66.000     82.000     0.012714     0.090465     0.040674   -3010.300601862596   -3010.299111579330
    66.000     83.000     0.011133     0.090674     0.040674   -3010.300697186889   -3010.299259730518
    66.000     84.000     0.009549     0.090854     0.040674   -3010.300796524087   -3010.299422962005
    66.000     85.000     0.007962     0.091007     0.040674   -3010.300899812723   -3010.299601130791
    66.000     86.000     0.006373     0.091132     0.040674   -3010.301006986158   -3010.299794075580
    66.000     87.000     0.004781     0.091229     0.040674   -3010.301117972822   -3010.300001616906
    66.000     88.000     0.003188     0.091299     0.040674   -3010.301232696359   -3010.300223557256
    66.000     89.000     0.001594     0.091341     0.040674   -3010.301351076020   -3010.300459681243
    67.000     69.000     0.032988     0.085937     0.039073   -3010.299280701053   -3010.298098987703
    67.000     70.000     0.031483     0.086499     0.039073   -3010.299316675456   -3010.298045310453
    67.000     71.000     0.029969     0.087035     0.039073   -3010.299356954920   -3010.298007106090
    67.000     72.000     0.028445     0.087545     0.039073   -3010.299401550536   -3010.297984465736
    67.000     73.000     0.026913     0.088028     0.039073   -3010.299450468370   -3010.297977463208
    67.000     74.000     0.025373     0.088485     0.039073   -3010.299503709291   -3010.297986154793
