theta	phi	energy
164.34782608695653	219.1304347826087	-3007.808095607108498
7.826086956521739	46.95652173913044	-3007.813120296319994
133.04347826086956	125.21739130434783	-3007.829640310138075
101.73913043478261	266.0869565217391	-3007.788406712108554
172.17391304347825	297.39130434782606	-3007.812225783160557
93.91304347826087	281.7391304347826	-3007.796038372094699
46.95652173913044	156.52173913043478	-3007.801630751965149
140.8695652173913	297.39130434782606	-3007.787490023157261
78.26086956521739	0.0	-3007.804473011640312
156.52173913043478	156.52173913043478	-3007.823460118610456
62.608695652173914	140.8695652173913	-3007.795105184603472
140.8695652173913	156.52173913043478	-3007.821239063423945
125.21739130434783	250.43478260869566	-3007.779769420100365
46.95652173913044	281.7391304347826	-3007.834564413608859
101.73913043478261	203.47826086956522	-3007.801656777480275
148.69565217391303	93.91304347826087	-3007.837545800232874
70.43478260869566	266.0869565217391	-3007.819061338530446
0.0	187.82608695652175	-3007.819266318421796
164.34782608695653	250.43478260869566	-3007.803442871448169
172.17391304347825	78.26086956521739	-3007.826207889956549
117.3913043478261	187.82608695652175	-3007.804184095803066
133.04347826086956	46.95652173913044	-3007.828958711941596
133.04347826086956	187.82608695652175	-3007.806488133996481
70.43478260869566	360.0	-3007.805286742908720
148.69565217391303	78.26086956521739	-3007.837319763902997
39.130434782608695	203.47826086956522	-3007.822623447046681
86.08695652173913	78.26086956521739	-3007.795905083865819
125.21739130434783	172.17391304347825	-3007.810749513558676
70.43478260869566	250.43478260869566	-3007.819060509707469
148.69565217391303	266.0869565217391	-3007.787452231273619
62.608695652173914	328.69565217391306	-3007.815315751024173
148.69565217391303	281.7391304347826	-3007.788555859164262
62.608695652173914	109.56521739130434	-3007.782787340132927
0.0	203.47826086956522	-3007.819266318421796
172.17391304347825	109.56521739130434	-3007.825820098645636
93.91304347826087	46.95652173913044	-3007.806674902766190
125.21739130434783	156.52173913043478	-3007.816123267487001
54.78260869565217	0.0	-3007.807989111348888
93.91304347826087	78.26086956521739	-3007.803626000819804
31.304347826086957	78.26086956521739	-3007.787832817742128
101.73913043478261	31.304347826086957	-3007.810169741888785
31.304347826086957	281.7391304347826	-3007.836958269916977
46.95652173913044	46.95652173913044	-3007.788824480933727
117.3913043478261	203.47826086956522	-3007.799089244284460
156.52173913043478	219.1304347826087	-3007.802534034952259
