     Theta        Phi           Ex           Ey           Ez              Ortho_E               Meta_E
    71.000     40.000     0.072431     0.060777     0.032557   -3010.315588288817   -3010.304109966427
    71.000     41.000     0.071359     0.062032     0.032557   -3010.315085368794   -3010.303695671080
    71.000     42.000     0.070266     0.063268     0.032557   -3010.314574800972   -3010.303288478319
    71.000     43.000     0.069151     0.064484     0.032557   -3010.314057207655   -3010.302888833429
    71.000     44.000     0.068015     0.065681     0.032557   -3010.313533218328   -3010.302497176762
    71.000     45.000     0.066858     0.066858     0.032557   -3010.313003468827   -3010.302113943402
    71.000     46.000     0.065681     0.068015     0.032557   -3010.312468600397   -3010.301739562590
    72.000     26.000     0.085480     0.041692     0.030902   -3010.321252117894   -3010.310183321323
    72.000     27.000     0.084740     0.043177     0.030902   -3010.320916128481   -3010.309714751606
    72.000     28.000     0.083973     0.044649     0.030902   -3010.320564854263   -3010.309246690808
    72.000     29.000     0.083181     0.046108     0.030902   -3010.320198720718   -3010.308779621781
    72.000     30.000     0.082364     0.047553     0.030902   -3010.319818173803   -3010.308314026927
    72.000     31.000     0.081521     0.048983     0.030902   -3010.319423679105   -3010.307850387916
    72.000     32.000     0.080654     0.050398     0.030902   -3010.319015720945   -3010.307389185457
    72.000     33.000     0.079762     0.051798     0.030902   -3010.318594801520   -3010.306930899018
    72.000     34.000     0.078846     0.053182     0.030902   -3010.318161439923   -3010.306476006585
    72.000     35.000     0.077906     0.054550     0.030902   -3010.317716171255   -3010.306024984402
    72.000     36.000     0.076942     0.055902     0.030902   -3010.317259545651   -3010.305578306691
    72.000     37.000     0.075955     0.057236     0.030902   -3010.316792127293   -3010.305136445335
    72.000     38.000     0.074944     0.058553     0.030902   -3010.316314493506   -3010.304699869595
    72.000     39.000     0.073911     0.059852     0.030902   -3010.315827233738   -3010.304269045805
    72.000     40.000     0.072855     0.061133     0.030902   -3010.315330948598   -3010.303844436980
    72.000     41.000     0.071777     0.062395     0.030902   -3010.314826248997   -3010.303426502492
    72.000     42.000     0.070677     0.063638     0.030902   -3010.314313755039   -3010.303015697641
    72.000     43.000     0.069556     0.064862     0.030902   -3010.313794095247   -3010.302612473272
    72.000     44.000     0.068413     0.066066     0.030902   -3010.313267905537   -3010.302217275347
    72.000     45.000     0.067250     0.067250     0.030902   -3010.312735828392   -3010.301830544429
    72.000     46.000     0.066066     0.068413     0.030902   -3010.312198511885   -3010.301452715281
    73.000     26.000     0.085952     0.041922     0.029237   -3010.321011890057   -3010.309991432190
    73.000     27.000     0.085207     0.043415     0.029237   -3010.320676937522   -3010.309519721901
    73.000     28.000     0.084437     0.044896     0.029237   -3010.320326505447   -3010.309048466718
    73.000     29.000     0.083640     0.046363     0.029237   -3010.319961021049   -3010.308578155073
    73.000     30.000     0.082818     0.047815     0.029237   -3010.319580932364   -3010.308109274910
    73.000     31.000     0.081971     0.049253     0.029237   -3010.319186707347   -3010.307642313421
    73.000     32.000     0.081099     0.050676     0.029237   -3010.318778832996   -3010.307177756813
    73.000     33.000     0.080202     0.052084     0.029237   -3010.318357814519   -3010.306716090046
    73.000     34.000     0.079281     0.053476     0.029237   -3010.317924174321   -3010.306257796573
    73.000     35.000     0.078336     0.054851     0.029237   -3010.317478451113   -3010.305803358098
    73.000     36.000     0.077367     0.056210     0.029237   -3010.317021198932   -3010.305353254269
    73.000     37.000     0.076374     0.057552     0.029237   -3010.316552986188   -3010.304907962411
    73.000     38.000     0.075358     0.058876     0.029237   -3010.316074394661   -3010.304467957231
    73.000     39.000     0.074319     0.060182     0.029237   -3010.315586018568   -3010.304033710454
    73.000     40.000     0.073257     0.061470     0.029237   -3010.315088463575   -3010.303605690504
    73.000     41.000     0.072173     0.062739     0.029237   -3010.314582345795   -3010.303184362139
    73.000     42.000     0.071067     0.063989     0.029237   -3010.314068290920   -3010.302770186058
    73.000     43.000     0.069940     0.065220     0.029237   -3010.313546933193   -3010.302363618445
    73.000     44.000     0.068791     0.066431     0.029237   -3010.313018914519   -3010.301965110580
    73.000     45.000     0.067621     0.067621     0.029237   -3010.312484883539   -3010.301575108347
    73.000     46.000     0.066431     0.068791     0.029237   -3010.311945494743   -3010.301194051739
    74.000     26.000     0.086398     0.042139     0.027564   -3010.320782335299   -3010.309822780781
    74.000     27.000     0.085649     0.043640     0.027564   -3010.320448678489   -3010.309348217594
    74.000     28.000     0.084874     0.045129     0.027564   -3010.320099357734   -3010.308874054647
    74.000     29.000     0.084074     0.046603     0.027564   -3010.319734801631   -3010.308400785695
    74.000     30.000     0.083248     0.048063     0.027564   -3010.319355459840   -3010.307928903982
    74.000     31.000     0.082396     0.049509     0.027564   -3010.318961802279   -3010.307458901982
    74.000     32.000     0.081520     0.050939     0.027564   -3010.318554318239   -3010.306991271163
    74.000     33.000     0.080618     0.052354     0.027564   -3010.318133515440   -3010.306526501718
    74.000     34.000     0.079692     0.053753     0.027564   -3010.317699919167   -3010.306065082325
    74.000     35.000     0.078742     0.055136     0.027564   -3010.317254071282   -3010.305607499894
    74.000     36.000     0.077768     0.056502     0.027564   -3010.316796529286   -3010.305154239280
    74.000     37.000     0.076770     0.057850     0.027564   -3010.316327865290   -3010.304705783009
    74.000     38.000     0.075748     0.059181     0.027564   -3010.315848665120   -3010.304262610948
    74.000     39.000     0.074704     0.060494     0.027564   -3010.315359527253   -3010.303825200004
    74.000     40.000     0.073637     0.061789     0.027564   -3010.314861061916   -3010.303394023767
