job_id,isomer,sample_index,theta_deg,phi_deg,lambda_mag,lambda_x,lambda_y,lambda_z,omega,charge,multiplicity,functional,basis,energy_hartree,status,log_file,psi4_output_file
meta_dirA_r008_th154_ph0,meta,008,154,0,0.1,0.04383711467890773,0.0,-0.08987940462991671,0.06615,1,1,wb97x,6-311G*,-3010.3455867000238868,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r008_th154_ph0.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r008_th154_ph0.dat
meta_dirA_r007_th125_ph50,meta,007,125,50,0.1,0.05265407845183633,0.06275068715971331,-0.05735764363510463,0.06615,1,1,wb97x,6-311G*,-3010.3230443064053361,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r007_th125_ph50.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r007_th125_ph50.dat
meta_dirA_r006_th144_ph17,meta,006,144,17,0.1,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.06615,1,1,wb97x,6-311G*,-3010.3418056522659754,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r006_th144_ph17.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r006_th144_ph17.dat
meta_dirA_r011_th158_ph44,meta,011,158,44,0.1,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.06615,1,1,wb97x,6-311G*,-3010.3471608503941752,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r011_th158_ph44.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r011_th158_ph44.dat
meta_dirA_r009_th138_ph55,meta,009,138,55,0.1,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.06615,1,1,wb97x,6-311G*,-3010.3338866400249572,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r009_th138_ph55.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r009_th138_ph55.dat
meta_dirA_r010_th124_ph69,meta,010,124,69,0.1,0.029710049497256353,0.07739732505681407,-0.05591929034707467,0.06615,1,1,wb97x,6-311G*,-3010.3194626379258807,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r010_th124_ph69.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r010_th124_ph69.dat
meta_dirA_r012_th149_ph65,meta,012,149,65,0.1,0.021766449594876336,0.046678301791134774,-0.08571673007021123,0.06615,1,1,wb97x,6-311G*,-3010.3417281075430765,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r012_th149_ph65.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r012_th149_ph65.dat
meta_dirA_r015_th134_ph71,meta,015,134,71,0.1,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.06615,1,1,wb97x,6-311G*,-3010.3290444960152854,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r015_th134_ph71.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r015_th134_ph71.dat
meta_dirA_r016_th159_ph40,meta,016,159,40,0.1,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.06615,1,1,wb97x,6-311G*,-3010.3475721379882089,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r016_th159_ph40.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r016_th159_ph40.dat
meta_dirA_r014_th157_ph73,meta,014,157,73,0.1,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.06615,1,1,wb97x,6-311G*,-3010.3460769016237464,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r014_th157_ph73.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r014_th157_ph73.dat
