     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
         63.0       288.0    0.2753362   -0.8473976    0.4539905    -3006.06690978674442    -3006.07610205962555    -3006.09365678741187
         63.0       306.0    0.5237205   -0.7208394    0.4539905    -3006.06622475494669    -3006.07949464599642    -3006.09820104454684
         63.0       324.0    0.7208394   -0.5237205    0.4539905    -3006.06636240589842    -3006.08538843643919    -3006.10108958963247
         63.0       342.0    0.8473976   -0.2753362    0.4539905    -3006.06687180042854    -3006.09155461616456    -3006.10081102831737
         63.0       360.0    0.8910065   -0.0000000    0.4539905    -3006.06717390985432    -3006.09521811191553    -3006.09699194522454
         72.0         0.0    0.9510565    0.0000000    0.3090170    -3006.06560796730446    -3006.09281928438213    -3006.09572869276644
         72.0        18.0    0.9045085    0.2938926    0.3090170    -3006.06527204762233    -3006.09261476675056    -3006.08891325061586
         72.0        36.0    0.7694209    0.5590170    0.3090170    -3006.06446245712459    -3006.08720049117937    -3006.08125239553965
         72.0        54.0    0.5590170    0.7694209    0.3090170    -3006.06383325962497    -3006.07851070367451    -3006.07542309654991
         72.0        72.0    0.2938926    0.9045085    0.3090170    -3006.06389892174593    -3006.06969352554916    -3006.07354570612324
         72.0        90.0    0.0000000    0.9510565    0.3090170    -3006.06494329863835    -3006.06381096994937    -3006.07640305119594
         72.0       108.0   -0.2938926    0.9045085    0.3090170    -3006.06690210532861    -3006.06257877267444    -3006.08304505075785
         72.0       126.0   -0.5590170    0.7694209    0.3090170    -3006.06933212586137    -3006.06616755599680    -3006.09111504548810
         72.0       144.0   -0.7694209    0.5590170    0.3090170    -3006.07174786143196    -3006.07346833888596    -3006.09786865487786
         72.0       162.0   -0.9045085    0.2938926    0.3090170    -3006.07364139067613    -3006.08201898946618    -3006.10115512962921
         72.0       180.0   -0.9510565    0.0000000    0.3090170    -3006.07439412751091    -3006.08859126167226    -3006.10001503727062
         72.0       198.0   -0.9045085   -0.2938926    0.3090170    -3006.07368724670550    -3006.09071522396334    -3006.09515780650145
         72.0       216.0   -0.7694209   -0.5590170    0.3090170    -3006.07180607107784    -3006.08790557093971    -3006.08878012576997
         72.0       234.0   -0.5590170   -0.7694209    0.3090170    -3006.06937539949013    -3006.08166261060069    -3006.08357775609011
         72.0       252.0   -0.2938926   -0.9045085    0.3090170    -3006.06691975754711    -3006.07480078539493    -3006.08168022292512
         72.0       270.0   -0.0000000   -0.9510565    0.3090170    -3006.06491591785834    -3006.07028981841722    -3006.08381114038320
         72.0       288.0    0.2938926   -0.9045085    0.3090170    -3006.06381362136244    -3006.06984871203986    -3006.08895776098007
         72.0       306.0    0.5590170   -0.7694209    0.3090170    -3006.06370554726891    -3006.07364552127729    -3006.09483604370007
         72.0       324.0    0.7694209   -0.5590170    0.3090170    -3006.06432376566727    -3006.08054251896601    -3006.09892317159438
