theta,phi,E_el,E_el_uncoupled,E_ph,E_blc,E_dse,E_total
2.0224719101123596,60.67415730337079,-435.8249269217044,-435.8249426837174,0.033077869654837395,-3.923905804417424e-05,0.00010092393996400737,-435.7917873671674
2.0224719101123596,64.71910112359551,-435.8249276393804,-435.8249426837174,0.03307767953504525,-3.7426557478247386e-05,9.657208117126801e-05,-435.7917908143221
2.0224719101123596,68.76404494382022,-435.8249283092706,-435.8249426837174,0.03307750182559906,-3.573409548619087e-05,9.251265597479957e-05,-435.7917940288839
2.0224719101123596,72.80898876404494,-435.8249289266326,-435.8249426837174,0.033077337815417295,-3.41737421282165e-05,8.877408350775732e-05,-435.79179698847554
2.0224719101123596,76.85393258426967,-435.82492948718556,-435.8249426837174,0.03307718866884093,-3.2756407454938e-05,8.538205813804051e-05,-435.7917996728659
2.0224719101123596,80.89887640449439,-435.8249299871508,-435.8249426837174,0.0330770554129247,-3.149172430923456e-05,8.235927963911449e-05,-435.79180206418266
2.0224719101123596,84.9438202247191,-435.82493042329173,-435.8249426837174,0.033076938926669956,-3.038794875275507e-05,7.972522358907357e-05,-435.7918041470904
2.0224719101123596,88.98876404494382,-435.8249307929433,-435.8249426837174,0.03307683993236533,-2.94518796605867e-05,7.749595551423519e-05,-435.79180590893526
2.0224719101123596,93.03370786516854,-435.8249310940369,-435.8249426837174,0.033076758989163534,-2.8688798685140905e-05,7.568399151799912e-05,-435.79180733985504
2.0224719101123596,97.07865168539325,-435.82493132511235,-435.8249426837174,0.03307669648898214,-2.8102431423282593e-05,7.429820730787939e-05,-435.7918084328479
2.0224719101123596,101.12359550561798,-435.82493148532814,-435.8249426837174,0.033076652654775905,-2.769493024038424e-05,7.334379667004863e-05,-435.79180918380683
2.0224719101123596,105.1685393258427,-435.824931574455,-435.8249426837174,0.03307662754118382,-2.7466878815048264e-05,7.282227955874066e-05,-435.79180959151284
2.0224719101123596,109.21348314606742,-435.8249315928692,-435.8249426837174,0.03307662103751369,-2.7417318078139252e-05,7.273155908522895e-05,-435.7918096575907
2.0224719101123596,113.25842696629213,-435.82493154153303,-435.8249426837174,0.033076632872983666,-2.75437928383341e-05,7.306602582557872e-05,-435.7918093864268
2.0224719101123596,117.30337078651685,-435.8249314219699,-435.8249426837174,0.03307666262410226,-2.7842418019716537e-05,7.381670703539582e-05,-435.7918087850558
2.0224719101123596,121.34831460674158,-435.8249312362294,-435.8249426837174,0.03307670972402867,-2.8307963093448726e-05,7.497145757999765e-05,-435.79180786301
2.0224719101123596,125.3932584269663,-435.8249309868509,-435.8249426837174,0.03307677347372383,-2.893395296849922e-05,7.651518867531427e-05,-435.79180663214146
2.0224719101123596,129.43820224719101,-435.8249306768212,-435.8249426837174,0.03307685305467097,-2.971278333902274e-05,7.843012990242861e-05,-435.79180510641896
2.0224719101123596,133.48314606741573,-435.8249303095161,-435.8249426837174,0.033076947542916214,-3.063584822541491e-05,8.069611941923188e-05,-435.7918033017019
2.0224719101123596,137.52808988764045,-435.8249298886602,-435.8249426837174,0.033077055924164434,-3.169367728456148e-05,8.329091685644395e-05,-435.79180123549594
2.0224719101123596,141.57303370786516,-435.8249294182592,-435.8249426837174,0.03307717710964398,-3.287608029794263e-05,8.619053306019452e-05,-435.7917989266964
2.0224719101123596,145.61797752808988,-435.82492890254815,-435.8249426837174,0.03307730995244747,-3.417229616716268e-05,8.936957063513271e-05,-435.7917963953215
2.0224719101123596,149.6629213483146,-435.8249283459353,-435.8249426837174,0.03307745326405037,-3.557114370654976e-05,9.280156915374525e-05,-435.7917936622453
2.0224719101123596,153.70786516853934,-435.82492775293395,-435.8249426837174,0.03307760583070887,-3.706117153616695e-05,9.645934892988923e-05,-435.79179074892573
2.0224719101123596,157.75280898876406,-435.82492712811666,-435.8249426837174,0.03307776642944947,-3.863080444922571e-05,0.00010031534740567673,-435.7917876771442
2.0224719101123596,161.79775280898878,-435.8249264760531,-435.8249426837174,0.03307793384337146,-4.026848374394241e-05,0.00010434194246654263,-435.79178446875136
2.0224719101123596,165.8426966292135,-435.82492580126166,-435.8249426837174,0.03307810687600325,-4.1962799178046076e-05,0.0001085117573731578,-435.7917811454272
